id_address;address;id_city;last_update
154;8285 Parkside Park;17;2022-06-18
155;3533 Bayside Place;6;2022-06-18
156;30344 Mockingbird Terrace;8;2022-06-18
157;06559 North Hill;10;2022-06-18
158;187 Kensington Trail;5;2022-06-18
159;31 7th Crossing;18;2022-06-18
160;1 Mallard Alley;15;2022-06-18
161;2 Schurz Lane;10;2022-06-18
162;8207 Boyd Parkway;9;2022-06-18
163;369 Leroy Road;2;2022-06-18
164;5 Dryden Place;20;2022-06-18
165;5 Dunning Way;16;2022-06-18
166;888 Scoville Center;19;2022-06-18
167;908 Mcbride Court;6;2022-06-18
168;7 Kingsford Avenue;8;2022-06-18
169;27698 Clemons Plaza;24;2022-06-18
170;9399 Erie Junction;21;2022-06-18
171;62 Dennis Center;18;2022-06-18
172;85 5th Center;8;2022-06-18
173;0522 Heath Center;8;2022-06-18
174;63934 Bluejay Parkway;6;2022-06-18
175;586 Prairie Rose Park;8;2022-06-18
176;5 Montana Place;1;2022-06-18
177;1832 Florence Court;11;2022-06-18
178;4124 Tomscot Lane;9;2022-06-18
179;19484 Clemons Circle;22;2022-06-18
180;2007 Little Fleur Center;6;2022-06-18
181;94 Ohio Terrace;11;2022-06-18
182;45493 Meadow Valley Way;21;2022-06-18
183;3 Talisman Point;11;2022-06-18
184;81418 Bay Drive;21;2022-06-18
185;8 2nd Crossing;24;2022-06-18
186;41 Burning Wood Place;6;2022-06-18
187;57 Ridgeview Road;22;2022-06-18
188;2 Farmco Pass;17;2022-06-18
189;85901 Northview Plaza;4;2022-06-18
190;0 Vermont Plaza;21;2022-06-18
191;700 Randy Hill;15;2022-06-18
192;7 Dunning Terrace;23;2022-06-18
193;81 Larry Place;3;2022-06-18
194;3158 Upham Point;13;2022-06-18
195;0627 Linden Road;16;2022-06-18
196;1 John Wall Lane;19;2022-06-18
197;5451 Division Way;24;2022-06-18
198;1433 Briar Crest Pass;21;2022-06-18
199;13 Kensington Avenue;15;2022-06-18
200;3152 Crest Line Point;17;2022-06-18
